,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2251,600284,浦东建设,3.82,11.09,9.4965,214.868,0.2214,1937.0814,1.9964
2252,603843,正平股份,3.82,2.98,10.4054,50.583,0.1264,1694.7508,4.2368
2253,002331,皖通科技,3.81,9.35,30.0944,68.6997,0.177,734.5583,1.8925
2254,002922,伊戈尔,3.81,4.26,22.4397,33.8377,0.2563,793.9399,6.015
2255,002226,江南化工,3.81,10.52,42.7616,213.8874,0.1712,2031.3799,1.6264
2256,601727,上海电气,3.81,3.1,20.0062,2169.116,0.1473,69905.398,4.7473
2257,600575,皖江物流,3.8,4.2,10.94,333.4442,0.0858,7929.2985,2.0403
2258,002295,精艺股份,3.8,0.98,3.9042,43.5798,0.1733,4410.4611,17.5413
2259,000831,五矿稀土,3.8,13.55,21.9857,79.9832,0.0815,589.9481,0.6014
2260,002523,天桥起重,3.79,8.95,28.6632,78.7482,0.0555,879.2898,0.6206
2261,300526,中潜股份,3.79,6.88,33.8337,20.5823,0.12,298.8053,1.7426
2262,002153,石基信息,3.79,15.87,46.095,315.9699,0.2961,1990.5007,1.8658
2263,000861,海印股份,3.78,6.96,40.2663,130.7075,0.057999999999999996,1876.1747,0.8338
2264,600482,中国动力,3.78,4.93,14.9349,994.6451,0.5735,20145.4595,11.6174
2265,002256,兆新股份,3.78,17.1,39.8766,84.0854,0.0446,491.6215,0.2611
2266,002155,湖南黄金,3.77,1.85,9.0163,179.2185,0.149,9641.0933,8.0206
2267,300307,慈星股份,3.77,11.06,32.4979,153.4446,0.1913,1387.1225,1.7295
2268,300269,联建光电,3.76,6.57,28.5755,191.7838,0.3126,2918.2369,4.758
2269,002098,浔兴股份,3.76,2.85,35.2686,47.478,0.1326,1663.8470000000002,4.6476
2270,600515,海航基础,3.76,20.55,45.2774,1223.1387,0.313,5951.9616,1.5231
2271,600811,东方集团,3.75,10.02,4.867,773.5492,0.2082,7714.6942,2.0768
2272,600894,广日股份,3.75,6.43,13.7511,260.1386,0.3025,4044.2516,4.7029
2273,603602,纵横通信,3.74,6.72,17.8122,24.5468,0.2191,364.8392,3.2574
2274,002325,洪涛股份,3.74,4.64,20.6138,141.5271,0.1132,3043.8951,2.4362
2275,300305,裕兴股份,3.73,10.7,14.9666,55.0016,0.1904,513.8459,1.7795
2276,300592,华凯创意,3.73,7.07,28.0815,18.9988,0.1552,268.3772,2.1929
2277,002095,生意宝,3.72,9.74,35.7799,31.5873,0.1249,324.0275,1.2821
2278,002135,东南网架,3.72,2.42,11.1142,149.713,0.1447,6177.5815,5.9721
2279,300381,溢多利,3.72,5.99,36.0922,74.4007,0.1829,1240.0557,3.0486
2280,002135,东南网架,3.72,2.42,11.1142,149.713,0.1447,6177.5815,5.9721
2281,600831,广电网络,3.71,5.41,30.1189,118.6097,0.196,2188.6401,3.6177
2282,002736,国信证券,3.71,30.47,38.2733,1931.3989,0.2355,6338.0306,0.7729
2283,002439,启明星辰,3.71,9.08,63.5329,118.306,0.1319,1302.1228,1.4521
2284,601991,大唐发电,3.71,2.54,15.7936,1761.558,0.0951,69099.317,3.7337
2285,600677,航天通信,3.7,1.38,13.2005,123.9991,0.2376,8952.3903,17.157
2286,002567,唐人神,3.7,1.14,8.7596,126.8931,0.1516,11071.5374,13.2344
2287,603117,万林物流,3.7,12.72,49.6386,82.6364,0.1276,649.1879,1.0029
2288,002232,启明信息,3.7,4.47,16.6815,40.1492,0.0982,897.747,2.1974
2289,600171,上海贝岭,3.7,15.18,26.1942,88.4258,0.1263,582.3827,0.8324
2290,603586,金麒麟,3.7,7.57,23.5084,78.4716,0.3639,1035.9581,4.8045
2291,600676,交运股份,3.68,2.93,8.454,210.0938,0.2042,7167.9505,6.9693
2292,300250,初灵信息,3.68,21.29,60.952,59.0529,0.2569,277.3168,1.2065
2293,600576,祥源文化,3.68,14.69,38.364000000000004,71.8119,0.1107,488.7197,0.7538
2294,000419,通程控股,3.68,3.97,21.3468,110.1993,0.2027,2771.6394,5.0988
2295,600109,国金证券,3.68,28.43,36.9179,710.2847,0.2348,2498.1724,0.826
2296,600386,北巴传媒,3.67,1.92,17.3113,64.3259,0.0797,3349.6339,4.1538
2297,603712,七一二,3.67,8.13,47.7338,77.2729,0.1,949.8106,1.2303
2298,002646,青青稞酒,3.66,9.12,65.919,86.8099,0.1929,951.6911,2.1148
2299,600626,申达股份,3.66,0.79,11.2085,96.5759,0.1359,12106.2311,17.0452
2300,600856,中天能源,3.65,4.54,22.139,183.1124,0.1339,4025.2413,2.9453
